"","base_precision","quant_precision","lng","model","p.value","OR"
"7","16bit","2bit-mixed","java","codellama-7b",1.51693076745338e-51,4.37623762376238
"8","16bit","2bit-mixed-finetuned","java","codellama-7b",6.37322857478182e-15,1.98387096774194
"5","16bit","2bit-mixed","py","codellama-7b",7.66163651165049e-21,2.68141592920354
"6","16bit","2bit-mixed-finetuned","py","codellama-7b",7.13191547732445e-12,2.01459854014599
"11","16bit","2bit-mixed","java","deepseekcoder-7b",9.47675489826295e-79,6.21176470588235
"12","16bit","2bit-mixed-finetuned","java","deepseekcoder-7b",2.62846771357603e-31,2.84459459459459
"9","16bit","2bit-mixed","py","deepseekcoder-7b",3.69625906515199e-42,3.39705882352941
"10","16bit","2bit-mixed-finetuned","py","deepseekcoder-7b",1.25112093588072e-39,3.4047619047619
"15","16bit","2bit-mixed","java","codellama-13b",9.21513264211792e-43,3.35211267605634
"16","16bit","2bit-mixed-finetuned","java","codellama-13b",6.64726261977358e-13,1.84057971014493
"13","16bit","2bit-mixed","py","codellama-13b",6.46916918119387e-06,1.47161572052402
"14","16bit","2bit-mixed-finetuned","py","codellama-13b",1.59866154592616e-08,1.65853658536585
"19","16bit","2bit-mixed","java","deepseekcoder-33b",2.36695640020159e-52,3.43373493975904
"20","16bit","2bit-mixed-finetuned","java","deepseekcoder-33b",8.08357366354397e-26,2.33663366336634
"17","16bit","2bit-mixed","py","deepseekcoder-33b",6.97037400360824e-30,2.60227272727273
"18","16bit","2bit-mixed-finetuned","py","deepseekcoder-33b",7.32607331816314e-37,3.25384615384615
"23","16bit","2bit-mixed","java","codellama-34b",9.59977787707935e-49,3.63503649635036
"24","16bit","2bit-mixed-finetuned","java","codellama-34b",1.24705707891608e-28,2.8
"21","16bit","2bit-mixed","py","codellama-34b",1.75260096400621e-09,1.61847389558233
"22","16bit","2bit-mixed-finetuned","py","codellama-34b",4.51914401083767e-15,1.96954314720812
"3","16bit","2bit-mixed","java","deepseekcoder-1b",2.47126666954046e-174,23.5806451612903
"4","16bit","2bit-mixed-finetuned","java","deepseekcoder-1b",2.09177078089281e-81,6.575
"1","16bit","2bit-mixed","py","deepseekcoder-1b",3.28623961067405e-89,7.56338028169014
"2","16bit","2bit-mixed-finetuned","py","deepseekcoder-1b",1.51382568697449e-21,2.41447368421053
